rank,name,position,bat_side,team,home_away,batting_order,venue,opp_team,opp_pitcher,pitcher_hand,days_rest,lineup_confirmed,composite_score,projected_fpts,rolling_7d_fpts_g,rolling_14d_fpts_g,rolling_30d_fpts_g,woba,wrc_plus,bb_pct,k_pct,iso,babip,xwoba_7d,xwoba_14d,xwoba_30d,barrel_pct_7d,barrel_pct_14d,barrel_pct_30d,hard_hit_pct_7d,hard_hit_pct_14d,hard_hit_pct_30d,avg_ev_7d,avg_ev_14d,avg_ev_30d,ev_stdev_30d,ev_floor_30d,ev_ceiling_30d,doc_avg_ev_30d,opp_era,opp_fip,opp_whip,opp_k_pct,platoon_same_hand,platoon_advantage,platoon_batter_woba,platoon_batter_split,platoon_pitcher_woba_against,platoon_pitcher_split,platoon_edge_woba,park_hr_factor,park_runs_factor,park_hits_factor,temp_f,wind_speed_mph,wind_direction,precip_pct,is_indoor
53,Francisco Lindor,SS,S,New York Mets,away,1,Progressive Field,Cleveland Guardians,Foster Griffin,L,1,True,8.721,2.46,6.83,8.75,8.29,,,,,,,0.252,0.333,0.337,3.1,5.9,5.8,25.0,27.9,32.1,86.7,84.3,85.2,16.0,69.2,101.7,87.7,3.06,3.91,1.07,0.221,False,,,,,,,1.0,1.0,1.0,82.9,7.9,WNW,0,False
54,Jac Caglianone,RF,L,Kansas City Royals,home,3,Kauffman Stadium,Minnesota Twins,Bailey Ober,R,1,False,8.701,2.94,9.67,6.55,7.0,,,,,,,0.42,0.315,0.312,6.5,5.6,6.9,41.9,42.6,35.3,86.0,87.4,85.4,18.1,64.8,106.8,86.2,4.45,4.57,1.23,0.172,False,,,,,,,0.95,0.97,0.98,73.3,5.5,SW,0,False
55,Jake Mangum,CF,S,Pittsburgh Pirates,away,1,American Family Field,Milwaukee Brewers,Dustin May,R,1,False,8.67,3.25,8.43,7.25,7.78,,,,,,,0.294,0.277,0.293,0.0,0.0,0.6,20.4,13.6,14.2,82.0,80.5,80.8,14.7,65.4,98.0,82.0,4.38,2.95,1.28,0.231,False,,,,,,,1.06,1.03,1.02,74.0,4.0,S,0,True
56,Gabriel Moreno,C,R,Arizona Diamondbacks,home,4,Chase Field,San Diego Padres,Walker Buehler,R,1,False,8.572,4.81,5.5,9.91,10.0,,,,,,,0.252,0.337,0.387,0.0,3.8,3.1,7.4,25.6,21.6,77.8,83.1,82.5,13.6,67.4,100.8,85.3,5.18,4.35,1.45,0.202,True,,,,,,,1.05,1.03,1.02,92.5,6.4,WNW,0,True
57,Miguel Vargas,3B,R,Chicago White Sox,away,3,Fenway Park,Boston Red Sox,Ranger Suarez,L,1,False,8.521,2.43,7.83,8.0,7.79,,,,,,,0.345,0.349,0.323,8.3,6.6,6.6,29.2,37.7,30.9,83.0,87.6,85.2,14.5,66.6,102.4,87.1,3.15,2.49,1.16,0.257,False,,,,,,,0.95,1.05,1.1,84.4,7.4,W,85,False
58,Henry Bolte,CF,R,Athletics,away,1,Great American Ball Park,Cincinnati Reds,Andrew Abbott,L,1,True,8.496,2.9,9.33,7.0,5.17,,,,,,,0.423,0.325,0.29,8.7,4.5,4.8,43.5,34.1,32.5,87.5,85.1,84.8,17.4,66.2,105.7,87.4,3.91,4.8,1.39,0.18,False,,,,,,,1.12,1.08,1.04,83.8,4.9,W,0,False
59,Brice Turang,2B,L,Milwaukee Brewers,home,1,American Family Field,Pittsburgh Pirates,Braxton Ashcraft,R,1,False,8.464,3.16,6.5,8.25,9.09,,,,,,,0.341,0.364,0.354,3.8,3.2,4.1,26.9,17.5,20.0,82.2,79.0,81.9,14.8,67.8,99.2,85.7,3.96,3.37,1.16,0.266,False,,,,,,,1.06,1.03,1.02,74.0,4.0,S,0,True
60,Lawrence Butler,RF,L,Athletics,away,6,Great American Ball Park,Cincinnati Reds,Andrew Abbott,L,1,True,8.296,3.26,9.0,8.17,6.46,,,,,,,0.32,0.369,0.311,4.0,8.0,4.3,40.0,32.0,23.9,85.1,83.1,81.5,15.3,65.9,102.3,86.7,3.91,4.8,1.39,0.18,True,,,,,,,1.12,1.08,1.04,83.8,4.9,W,0,False
61,Jackson Chourio,LF,R,Milwaukee Brewers,home,2,American Family Field,Pittsburgh Pirates,Braxton Ashcraft,R,1,False,8.229,3.1,8.67,7.42,7.44,,,,,,,0.386,0.345,0.301,9.1,6.5,4.0,39.4,29.9,26.7,85.7,83.6,83.1,15.3,65.2,102.6,88.0,3.96,3.37,1.16,0.266,True,,,,,,,1.06,1.03,1.02,74.0,4.0,S,0,True
62,Ozzie Albies,2B,S,Atlanta Braves,home,5,Truist Park,Miami Marlins,Janson Junk,R,1,False,8.208,3.71,7.33,8.23,7.44,,,,,,,0.263,0.271,0.247,2.3,3.3,2.2,15.9,20.7,16.7,81.3,82.4,81.0,14.7,63.8,99.6,86.3,4.58,4.21,1.33,0.181,False,,,,,,,1.03,1.02,1.01,79.3,5.7,SSW,20,False
