rank,name,position,bat_side,team,home_away,batting_order,venue,opp_team,opp_pitcher,pitcher_hand,days_rest,lineup_confirmed,composite_score,projected_fpts,rolling_7d_fpts_g,rolling_14d_fpts_g,rolling_30d_fpts_g,woba,wrc_plus,bb_pct,k_pct,iso,babip,xwoba_7d,xwoba_14d,xwoba_30d,barrel_pct_7d,barrel_pct_14d,barrel_pct_30d,hard_hit_pct_7d,hard_hit_pct_14d,hard_hit_pct_30d,avg_ev_7d,avg_ev_14d,avg_ev_30d,ev_stdev_30d,ev_floor_30d,ev_ceiling_30d,doc_avg_ev_30d,opp_era,opp_fip,opp_whip,opp_k_pct,platoon_same_hand,platoon_advantage,platoon_batter_woba,platoon_batter_split,platoon_pitcher_woba_against,platoon_pitcher_split,platoon_edge_woba,park_hr_factor,park_runs_factor,park_hits_factor,temp_f,wind_speed_mph,wind_direction,precip_pct,is_indoor
129,Carson Kelly,C,R,Chicago Cubs,home,4,Wrigley Field,Toronto Blue Jays,Dylan Cease,R,1,False,6.147,1.79,7.2,5.6,6.0,,,,,,,0.412,0.291,0.318,3.2,1.8,3.1,19.4,25.5,23.5,80.0,81.7,80.7,15.3,61.3,100.0,84.3,2.41,2.23,1.08,0.362,True,,,,,,,1.05,1.03,1.02,73.7,5.4,SE,0,False
130,Mike Trout,CF,R,Los Angeles Angels,away,2,Oriole Park at Camden Yards,Baltimore Orioles,Brandon Young,R,1,True,6.109,2.48,3.4,6.27,7.0,,,,,,,0.246,0.306,0.314,0.0,1.6,1.7,19.2,18.8,16.9,79.7,78.9,80.0,14.7,63.7,100.3,81.5,3.31,3.89,1.29,0.194,True,batter,0.344,vs RHP,0.301,vs RHB,0.043,1.1,1.05,1.03,88.9,5.9,SSW,0,False
131,Ernie Clement,2B,R,Toronto Blue Jays,away,7,Wrigley Field,Chicago Cubs,David Peterson,L,1,False,6.096,3.65,4.33,6.08,6.88,,,,,,,0.226,0.228,0.244,3.8,1.4,2.0,7.7,11.1,11.2,80.4,80.1,78.8,13.6,64.5,95.7,82.3,5.52,4.02,1.48,0.188,False,,,,,,,1.05,1.03,1.02,73.7,5.4,SE,0,False
132,José Ramírez,3B,S,Cleveland Guardians,home,3,Progressive Field,New York Mets,Nolan McLean,R,1,True,6.048,2.41,5.0,5.5,6.09,,,,,,,0.349,0.278,0.284,0.0,0.0,0.0,33.3,21.4,19.7,87.4,81.2,80.7,15.1,66.2,97.5,83.3,3.29,3.16,1.12,0.284,False,,,,,,,1.0,1.0,1.0,82.9,7.9,WNW,0,False
133,Colson Montgomery,SS,L,Chicago White Sox,away,4,Fenway Park,Boston Red Sox,Ranger Suarez,L,1,False,6.044,2.09,5.83,5.73,5.86,,,,,,,0.208,0.177,0.227,3.2,1.9,2.1,12.9,18.5,23.4,78.8,83.6,83.2,14.9,64.9,102.7,83.7,3.15,2.49,1.16,0.257,True,,,,,,,0.95,1.05,1.1,84.4,7.4,W,85,False
134,Taylor Ward,LF,R,Seattle Mariners,home,8,T-Mobile Park,Detroit Tigers,Framber Valdez,L,1,False,6.01,2.65,4.0,5.67,8.05,,,,,,,0.323,0.302,0.348,0.0,2.1,1.9,30.8,25.5,21.2,83.5,82.8,82.4,14.2,66.5,99.6,86.1,4.41,3.84,1.39,0.184,False,,,,,,,0.9,0.93,0.95,67.9,0.7,WNW,0,True
135,Abimelec Ortiz,1B,L,Washington Nationals,away,2,Citizens Bank Park,Philadelphia Phillies,Cristopher Sánchez,L,1,False,5.983,5.67,5.67,5.67,5.75,,,,,,,0.371,0.371,0.381,7.7,7.7,5.6,23.1,23.1,38.9,84.3,84.3,88.4,15.5,69.2,105.5,90.3,2.61,2.54,1.2,0.279,True,,,,,,,1.08,1.06,1.03,86.5,10.5,SW,0,False
136,Joe Mack,C,L,Miami Marlins,away,8,Truist Park,Atlanta Braves,Martín Pérez,L,1,False,5.943,2.03,6.8,5.4,5.38,,,,,,,0.342,0.344,0.336,4.2,7.5,6.4,29.2,35.0,28.2,80.6,82.1,80.6,17.3,53.4,100.3,88.3,3.24,4.23,1.17,0.188,True,,,,,,,1.03,1.02,1.01,79.3,5.7,SSW,20,False
137,Dane Myers,CF,R,Cincinnati Reds,home,6,Great American Ball Park,Athletics,Mason Barnett,R,1,True,5.924,3.3,5.0,5.7,5.75,,,,,,,0.171,0.213,0.251,0.0,0.0,0.0,17.9,19.3,22.4,75.7,77.7,78.6,18.8,56.0,98.2,82.0,4.85,4.78,1.31,0.23,True,batter,0.322,vs RHP,0.278,vs RHB,0.044,1.12,1.08,1.04,83.8,4.9,W,0,False
138,Brooks Lee,3B,S,Minnesota Twins,away,7,Kauffman Stadium,Kansas City Royals,Michael Wacha,R,1,False,5.817,2.11,5.5,4.83,6.52,,,,,,,0.22,0.195,0.235,0.0,0.0,0.7,21.9,19.7,22.2,83.9,81.6,82.5,13.1,66.2,98.9,84.5,3.51,3.82,1.16,0.197,False,,,,,,,0.95,0.97,0.98,73.3,5.5,SW,0,False
139,Mauricio Dubón,LF,R,Atlanta Braves,home,6,Truist Park,Miami Marlins,Janson Junk,R,1,False,5.814,2.9,6.6,4.75,5.5,,,,,,,0.283,0.296,0.264,0.0,1.2,1.2,21.7,15.9,15.9,84.2,81.2,80.1,13.8,65.9,98.2,82.4,4.58,4.21,1.33,0.181,True,,,,,,,1.03,1.02,1.01,79.3,5.7,SSW,20,False
140,Jakob Marsee,CF,L,Miami Marlins,away,7,Truist Park,Atlanta Braves,Martín Pérez,L,1,False,5.79,2.13,6.0,5.92,5.32,,,,,,,0.335,0.332,0.294,4.5,4.4,2.1,27.3,20.0,20.0,85.2,80.8,81.8,14.7,65.9,99.5,84.3,3.24,4.23,1.17,0.188,True,,,,,,,1.03,1.02,1.01,79.3,5.7,SSW,20,False
141,Nick Gonzales,3B,R,Pittsburgh Pirates,away,5,American Family Field,Milwaukee Brewers,Dustin May,R,1,False,5.714,2.82,5.0,5.08,7.28,,,,,,,0.243,0.28,0.293,0.0,1.3,2.0,17.1,19.7,18.8,84.6,85.0,82.4,13.0,66.0,99.2,83.4,4.38,2.95,1.28,0.231,True,,,,,,,1.06,1.03,1.02,74.0,4.0,S,0,True
142,Sam Antonacci,LF,L,Chicago White Sox,away,1,Fenway Park,Boston Red Sox,Ranger Suarez,L,1,False,5.691,2.27,3.17,6.17,7.09,,,,,,,0.284,0.31,0.302,3.7,3.4,2.3,25.9,23.7,18.5,80.4,80.6,79.4,14.8,62.0,98.6,80.4,3.15,2.49,1.16,0.257,True,,,,,,,0.95,1.05,1.1,84.4,7.4,W,85,False
143,Brandon Marsh,LF,L,Philadelphia Phillies,home,6,Citizens Bank Park,Washington Nationals,Miles Mikolas,R,1,False,5.665,3.28,5.67,4.33,4.25,,,,,,,0.286,0.242,0.251,0.0,0.0,1.6,21.6,20.8,20.0,81.6,81.5,81.6,13.2,66.7,100.0,85.9,5.67,5.82,1.35,0.119,False,,,,,,,1.08,1.06,1.03,86.5,10.5,SW,0,False
144,Jackson Holliday,2B,L,Baltimore Orioles,home,5,Oriole Park at Camden Yards,Los Angeles Angels,Ryan Johnson,R,1,True,5.646,5.29,2.2,7.55,6.0,,,,,,,0.179,0.285,0.307,0.0,0.0,0.0,18.2,18.0,18.4,81.8,82.4,81.6,13.2,65.7,98.7,86.1,7.63,6.19,1.59,0.175,False,pitcher,0.32,vs RHP,0.365,vs LHB,-0.045,1.1,1.05,1.03,88.9,5.9,SSW,0,False
145,Petey Halpin,CF,L,Cleveland Guardians,home,7,Progressive Field,New York Mets,Nolan McLean,R,1,True,5.478,2.09,5.25,4.27,6.53,,,,,,,0.294,0.301,0.313,0.0,1.8,3.0,0.0,10.5,15.2,77.2,80.1,79.9,13.6,64.7,98.1,82.1,3.29,3.16,1.12,0.284,False,,,,,,,1.0,1.0,1.0,82.9,7.9,WNW,0,False
146,Héctor Rodríguez,LF,L,Cincinnati Reds,home,7,Great American Ball Park,Athletics,Mason Barnett,R,2,True,5.415,5.0,5.0,5.0,5.0,,,,,,,0.578,0.578,0.578,0.0,0.0,0.0,0.0,0.0,0.0,70.9,70.9,70.9,3.4,68.6,73.8,69.6,4.85,4.78,1.31,0.23,False,,,,,,,1.12,1.08,1.04,83.8,4.9,W,0,False
147,Dylan Beavers,RF,L,Baltimore Orioles,home,1,Oriole Park at Camden Yards,Los Angeles Angels,Ryan Johnson,R,1,True,5.396,4.14,4.2,4.36,4.86,,,,,,,0.291,0.347,0.333,0.0,2.0,2.5,20.0,24.0,26.2,83.8,83.8,85.1,13.3,67.5,101.2,85.1,7.63,6.19,1.59,0.175,False,pitcher,0.308,vs RHP,0.365,vs LHB,-0.057,1.1,1.05,1.03,88.9,5.9,SSW,0,False
148,Noelvi Marte,RF,R,Cincinnati Reds,home,8,Great American Ball Park,Athletics,Mason Barnett,R,1,True,5.383,2.93,6.0,4.56,4.72,,,,,,,0.14,0.218,0.189,0.0,2.4,1.4,30.0,29.3,18.6,85.9,84.1,82.9,12.9,66.4,99.6,86.4,4.85,4.78,1.31,0.23,True,pitcher,0.251,vs RHP,0.278,vs RHB,-0.027,1.12,1.08,1.04,83.8,4.9,W,0,False
149,Nick Loftin,3B,R,Kansas City Royals,home,7,Kauffman Stadium,Minnesota Twins,Bailey Ober,R,1,False,5.208,2.78,3.33,6.08,6.43,,,,,,,0.265,0.298,0.288,0.0,1.8,1.0,20.7,23.6,21.8,81.0,79.9,79.9,18.3,56.6,99.5,81.3,4.45,4.57,1.23,0.172,True,,,,,,,0.95,0.97,0.98,73.3,5.5,SW,0,False
150,Xavier Edwards,2B,S,Miami Marlins,away,1,Truist Park,Atlanta Braves,Martín Pérez,L,1,False,5.171,2.35,2.67,5.75,5.21,,,,,,,0.209,0.271,0.266,0.0,0.0,0.8,20.8,18.2,16.5,80.0,78.3,79.1,15.3,63.5,97.9,87.5,3.24,4.23,1.17,0.188,False,,,,,,,1.03,1.02,1.01,79.3,5.7,SSW,20,False
151,Eugenio Suárez,DH,R,Cincinnati Reds,home,5,Great American Ball Park,Athletics,Mason Barnett,R,1,True,5.164,2.7,3.6,4.6,6.86,,,,,,,0.249,0.227,0.254,4.2,4.3,7.4,29.2,23.9,24.2,83.5,84.2,84.4,13.0,70.2,101.4,86.4,4.85,4.78,1.31,0.23,True,neutral,0.274,vs RHP,0.278,vs RHB,-0.004,1.12,1.08,1.04,83.8,4.9,W,0,False
152,Keibert Ruiz,C,S,Washington Nationals,away,5,Citizens Bank Park,Philadelphia Phillies,Cristopher Sánchez,L,1,False,5.017,1.69,4.8,4.44,5.0,,,,,,,0.241,0.211,0.231,0.0,0.0,1.2,26.1,18.6,23.2,84.4,80.8,81.5,15.0,65.1,100.8,81.3,2.61,2.54,1.2,0.279,False,,,,,,,1.08,1.06,1.03,86.5,10.5,SW,0,False
153,Javier Sanoja,3B,R,Miami Marlins,away,9,Truist Park,Atlanta Braves,Martín Pérez,L,1,False,5.006,1.87,5.17,4.33,4.54,,,,,,,0.315,0.272,0.253,3.6,3.8,1.7,17.9,18.9,18.1,82.2,80.6,80.7,13.8,65.1,99.2,83.4,3.24,4.23,1.17,0.188,False,,,,,,,1.03,1.02,1.01,79.3,5.7,SSW,20,False
154,Colt Emerson,SS,L,Seattle Mariners,home,9,T-Mobile Park,Detroit Tigers,Framber Valdez,L,1,False,4.989,2.63,5.0,5.36,4.0,,,,,,,0.274,0.332,0.283,3.6,2.0,2.0,21.4,20.0,18.8,82.1,82.9,81.4,13.5,67.6,97.9,85.2,4.41,3.84,1.39,0.184,True,,,,,,,0.9,0.93,0.95,67.9,0.7,WNW,0,True
155,Nasim Nuñez,2B,S,Washington Nationals,away,7,Citizens Bank Park,Philadelphia Phillies,Cristopher Sánchez,L,1,False,4.929,1.87,4.5,4.33,5.68,,,,,,,0.249,0.259,0.268,0.0,0.0,0.0,9.1,11.3,13.0,74.1,76.4,78.4,13.7,63.2,96.1,79.7,2.61,2.54,1.2,0.279,False,,,,,,,1.08,1.06,1.03,86.5,10.5,SW,0,False
156,Brayan Rocchio,SS,S,Cleveland Guardians,home,6,Progressive Field,New York Mets,Nolan McLean,R,1,True,4.726,1.88,4.0,3.75,6.25,,,,,,,0.274,0.214,0.261,0.0,1.3,2.8,11.8,13.3,20.0,81.1,80.4,82.0,14.7,64.3,99.6,83.7,3.29,3.16,1.12,0.284,False,,,,,,,1.0,1.0,1.0,82.9,7.9,WNW,0,False
157,Leody Taveras,CF,S,Baltimore Orioles,home,6,Oriole Park at Camden Yards,Los Angeles Angels,Ryan Johnson,R,1,True,4.697,4.48,3.2,4.82,4.81,,,,,,,0.188,0.276,0.282,0.0,2.0,2.3,15.8,19.6,16.1,81.0,80.1,77.5,18.9,59.7,100.1,84.4,7.63,6.19,1.59,0.175,False,pitcher,0.313,vs RHP,0.357,vs RHB,-0.044,1.1,1.05,1.03,88.9,5.9,SSW,0,False
158,Andrés Giménez,SS,L,Toronto Blue Jays,away,8,Wrigley Field,Chicago Cubs,David Peterson,L,1,False,4.683,3.23,4.67,4.69,3.83,,,,,,,0.209,0.24,0.259,0.0,0.0,1.8,6.7,8.5,8.9,80.3,77.7,78.5,12.1,64.6,94.5,83.5,5.52,4.02,1.48,0.188,True,,,,,,,1.05,1.03,1.02,73.7,5.4,SE,0,False
159,Zach Neto,SS,R,Los Angeles Angels,away,4,Oriole Park at Camden Yards,Baltimore Orioles,Brandon Young,R,1,True,4.571,2.1,2.2,4.73,6.13,,,,,,,0.15,0.273,0.268,0.0,3.7,3.9,30.0,27.8,24.2,88.0,82.8,82.2,15.4,64.7,101.0,83.5,3.31,3.89,1.29,0.194,True,neutral,0.306,vs RHP,0.301,vs RHB,0.005,1.1,1.05,1.03,88.9,5.9,SSW,0,False
160,Brandon Valenzuela,C,S,Toronto Blue Jays,away,5,Wrigley Field,Chicago Cubs,David Peterson,L,1,False,4.546,2.89,4.5,2.8,4.6,,,,,,,0.324,0.314,0.285,0.0,4.3,4.2,14.3,17.4,22.9,80.7,76.9,80.5,15.3,64.4,101.1,85.1,5.52,4.02,1.48,0.188,False,,,,,,,1.05,1.03,1.02,73.7,5.4,SE,0,False
161,Braden Montgomery,RF,S,Chicago White Sox,away,6,Fenway Park,Boston Red Sox,Ranger Suarez,L,1,False,4.472,2.12,1.6,5.18,6.91,,,,,,,0.217,0.284,0.295,0.0,0.0,1.0,31.8,25.0,24.8,84.9,82.9,82.9,15.4,66.2,101.0,88.2,3.15,2.49,1.16,0.257,False,,,,,,,0.95,1.05,1.1,84.4,7.4,W,85,False
162,Tommy White,3B,R,Athletics,away,2,Great American Ball Park,Cincinnati Reds,Andrew Abbott,L,1,True,4.371,2.41,2.33,3.83,4.71,,,,,,,0.25,0.275,0.298,3.4,3.1,3.2,17.2,21.9,21.3,80.0,79.4,80.4,14.5,62.5,98.8,84.9,3.91,4.8,1.39,0.18,False,,,,,,,1.12,1.08,1.04,83.8,4.9,W,0,False
163,Angel Martínez,LF,S,Cleveland Guardians,home,5,Progressive Field,New York Mets,Nolan McLean,R,1,True,4.131,1.79,5.4,2.7,2.7,,,,,,,0.368,0.233,0.233,6.2,3.2,3.2,25.0,19.4,19.4,79.4,79.2,79.2,17.9,67.2,96.9,82.6,3.29,3.16,1.12,0.284,False,,,,,,,1.0,1.0,1.0,82.9,7.9,WNW,0,False
164,Ian Happ,LF,S,Chicago Cubs,home,7,Wrigley Field,Toronto Blue Jays,Dylan Cease,R,1,False,4.106,1.78,3.14,4.38,5.84,,,,,,,0.249,0.236,0.283,0.0,2.6,2.2,17.9,15.8,19.0,81.2,79.3,81.4,13.3,67.5,99.8,83.1,2.41,2.23,1.08,0.362,False,,,,,,,1.05,1.03,1.02,73.7,5.4,SE,0,False
165,Colton Cowser,CF,L,Baltimore Orioles,home,8,Oriole Park at Camden Yards,Los Angeles Angels,Ryan Johnson,R,1,True,4.091,3.9,3.25,4.5,3.05,,,,,,,0.209,0.286,0.28,0.0,0.0,0.0,18.2,17.4,24.6,81.3,79.5,83.1,14.4,65.7,100.7,84.4,7.63,6.19,1.59,0.175,False,pitcher,0.295,vs RHP,0.365,vs LHB,-0.07,1.1,1.05,1.03,88.9,5.9,SSW,0,False
166,Jase Bowen,RF,R,San Diego Padres,away,9,Chase Field,Arizona Diamondbacks,Kohl Drake,L,1,False,3.944,2.4,4.17,3.09,3.1,,,,,,,0.384,0.348,0.316,11.8,9.1,7.9,35.3,36.4,31.6,82.2,82.0,81.8,20.3,55.3,105.1,78.8,4.85,5.41,1.46,0.203,False,,,,,,,1.05,1.03,1.02,92.5,6.4,WNW,0,True
167,Luis Robert Jr.,CF,R,New York Mets,away,3,Progressive Field,Cleveland Guardians,Foster Griffin,L,1,True,3.942,1.74,2.0,4.0,4.15,,,,,,,0.174,0.204,0.227,5.6,2.2,3.2,22.2,15.2,16.1,81.8,76.9,77.9,16.7,62.3,101.5,81.8,3.06,3.91,1.07,0.221,False,,,,,,,1.0,1.0,1.0,82.9,7.9,WNW,0,False
168,Jose Siri,CF,R,Los Angeles Angels,away,7,Oriole Park at Camden Yards,Baltimore Orioles,Brandon Young,R,1,True,3.884,1.83,4.0,3.6,3.1,,,,,,,0.398,0.29,0.276,6.7,3.7,2.2,33.3,25.9,22.2,83.6,81.8,79.8,15.1,63.4,102.2,83.5,3.31,3.89,1.29,0.194,True,neutral,0.305,vs RHP,0.301,vs RHB,0.004,1.1,1.05,1.03,88.9,5.9,SSW,0,False
169,David Hamilton,3B,L,Milwaukee Brewers,home,9,American Family Field,Pittsburgh Pirates,Braxton Ashcraft,R,1,False,3.762,2.31,2.4,4.33,4.33,,,,,,,0.275,0.288,0.288,5.9,3.2,3.2,17.6,16.1,16.1,80.9,78.8,78.8,18.8,59.0,97.9,85.0,3.96,3.37,1.16,0.266,False,,,,,,,1.06,1.03,1.02,74.0,4.0,S,0,True
170,Ryan Kreidler,SS,R,Minnesota Twins,away,9,Kauffman Stadium,Kansas City Royals,Michael Wacha,R,1,False,3.76,2.52,2.0,5.58,4.04,,,,,,,0.345,0.368,0.293,11.8,9.8,4.8,29.4,29.3,28.6,82.9,83.8,83.2,17.2,61.3,103.0,85.0,3.51,3.82,1.16,0.197,True,,,,,,,0.95,0.97,0.98,73.3,5.5,SW,0,False
171,Nathan Lukes,RF,L,Toronto Blue Jays,away,1,Wrigley Field,Chicago Cubs,David Peterson,L,1,False,3.59,2.93,1.0,3.62,4.83,,,,,,,0.2,0.253,0.256,0.0,0.0,0.0,14.3,14.5,14.6,82.2,79.4,80.1,13.4,63.0,96.3,82.8,5.52,4.02,1.48,0.188,True,,,,,,,1.05,1.03,1.02,73.7,5.4,SE,0,False
172,Tyrone Taylor,LF,R,Chicago Cubs,home,9,Wrigley Field,Toronto Blue Jays,Dylan Cease,R,1,False,3.557,1.66,4.0,4.0,4.0,,,,,,,0.307,0.428,0.403,6.2,11.8,13.0,18.8,32.4,33.3,78.1,83.7,84.7,16.5,64.7,103.7,90.1,2.41,2.23,1.08,0.362,True,,,,,,,1.05,1.03,1.02,73.7,5.4,SE,0,False
173,Brian Serven,C,R,Athletics,away,7,Great American Ball Park,Cincinnati Reds,Andrew Abbott,L,4,True,3.479,2.21,1.5,4.4,3.67,,,,,,,0.398,0.423,0.423,0.0,9.1,9.1,42.9,36.4,36.4,90.0,86.6,86.6,15.2,68.7,104.3,83.5,3.91,4.8,1.39,0.18,False,,,,,,,1.12,1.08,1.04,83.8,4.9,W,0,False
174,Jared Triolo,SS,R,Pittsburgh Pirates,away,7,American Family Field,Milwaukee Brewers,Dustin May,R,1,False,3.296,2.22,3.0,2.85,4.33,,,,,,,0.346,0.296,0.298,0.0,0.0,1.1,0.0,9.8,18.4,75.7,77.5,79.6,14.9,66.1,97.9,84.0,4.38,2.95,1.28,0.231,True,,,,,,,1.06,1.03,1.02,74.0,4.0,S,0,True
175,Tristan Peters,CF,L,Chicago White Sox,away,7,Fenway Park,Boston Red Sox,Ranger Suarez,L,1,False,3.252,1.74,3.17,2.75,4.12,,,,,,,0.29,0.256,0.263,0.0,1.9,2.9,11.8,20.4,24.3,76.7,79.8,82.3,16.8,64.7,100.9,84.1,3.15,2.49,1.16,0.257,True,,,,,,,0.95,1.05,1.1,84.4,7.4,W,85,False
176,Josh Lowe,LF,L,Los Angeles Angels,away,8,Oriole Park at Camden Yards,Baltimore Orioles,Brandon Young,R,1,True,3.158,1.9,2.25,3.0,4.19,,,,,,,0.331,0.361,0.328,0.0,4.2,3.8,21.4,20.8,19.2,85.0,83.8,80.6,14.4,65.9,99.6,86.4,3.31,3.89,1.29,0.194,False,pitcher,0.273,vs RHP,0.291,vs LHB,-0.018,1.1,1.05,1.03,88.9,5.9,SSW,0,False
177,Sean Murphy,C,R,Atlanta Braves,home,9,Truist Park,Miami Marlins,Janson Junk,R,1,False,3.136,3.0,3.0,3.0,3.0,,,,,,,0.102,0.102,0.102,0.0,0.0,0.0,20.0,20.0,20.0,81.8,81.8,81.8,14.7,67.8,95.5,,4.58,4.21,1.33,0.181,True,,,,,,,1.03,1.02,1.01,79.3,5.7,SSW,20,False
178,Alika Williams,SS,R,Athletics,away,8,Great American Ball Park,Cincinnati Reds,Andrew Abbott,L,1,True,3.084,1.92,3.0,2.18,2.4,,,,,,,0.275,0.231,0.231,4.0,2.0,1.3,16.0,14.3,13.0,77.5,77.6,76.4,14.0,62.0,97.7,78.2,3.91,4.8,1.39,0.18,False,,,,,,,1.12,1.08,1.04,83.8,4.9,W,0,False
179,José Tena,DH,L,Washington Nationals,away,6,Citizens Bank Park,Philadelphia Phillies,Cristopher Sánchez,L,1,False,2.814,1.63,2.86,2.3,3.89,,,,,,,0.235,0.237,0.253,4.0,3.4,1.7,16.0,13.8,21.7,80.6,78.8,81.7,14.6,63.0,101.7,86.3,2.61,2.54,1.2,0.279,True,,,,,,,1.08,1.06,1.03,86.5,10.5,SW,0,False
180,Austin Martin,RF,R,Minnesota Twins,away,1,Kauffman Stadium,Kansas City Royals,Michael Wacha,R,1,False,2.729,1.89,1.0,3.0,3.13,,,,,,,0.282,0.292,0.292,0.0,0.0,0.0,11.1,18.8,17.5,81.1,80.9,82.1,12.7,70.5,99.9,83.6,3.51,3.82,1.16,0.197,True,,,,,,,0.95,0.97,0.98,73.3,5.5,SW,0,False
181,Lane Thomas,CF,R,Atlanta Braves,home,7,Truist Park,Miami Marlins,Janson Junk,R,1,False,2.636,2.99,2.5,2.5,2.5,,,,,,,0.323,0.226,0.316,5.3,1.9,6.4,10.5,18.5,31.2,83.8,81.0,83.7,16.6,62.0,104.6,86.8,4.58,4.21,1.33,0.181,True,,,,,,,1.03,1.02,1.01,79.3,5.7,SSW,20,False
182,Jorbit Vivas,3B,L,Washington Nationals,away,8,Citizens Bank Park,Philadelphia Phillies,Cristopher Sánchez,L,1,False,2.558,1.66,2.5,2.1,3.72,,,,,,,0.299,0.267,0.277,0.0,0.0,0.0,9.1,5.6,9.3,79.5,77.4,77.7,14.4,63.5,93.9,79.9,2.61,2.54,1.2,0.279,True,,,,,,,1.08,1.06,1.03,86.5,10.5,SW,0,False
183,Connor Wong,C,R,Boston Red Sox,home,9,Fenway Park,Chicago White Sox,Luis Castillo,R,1,False,2.435,2.36,0.6,3.0,3.35,,,,,,,0.176,0.244,0.245,0.0,2.5,1.3,15.0,27.5,25.0,81.3,81.4,80.2,19.0,61.0,104.9,82.2,5.06,4.43,1.39,0.194,True,,,,,,,0.95,1.05,1.1,84.4,7.4,W,85,False
184,Owen Caissie,RF,L,Miami Marlins,away,6,Truist Park,Atlanta Braves,Martín Pérez,L,1,False,2.341,2.18,1.67,1.67,4.4,,,,,,,0.127,0.127,0.328,0.0,0.0,5.9,6.7,6.7,17.6,80.8,80.8,83.7,12.5,70.4,99.4,83.2,3.24,4.23,1.17,0.188,True,,,,,,,1.03,1.02,1.01,79.3,5.7,SSW,20,False
185,Drew Romo,C,S,Chicago White Sox,away,9,Fenway Park,Boston Red Sox,Ranger Suarez,L,1,False,2.159,1.78,1.0,2.71,2.08,,,,,,,0.162,0.193,0.17,0.0,0.0,0.0,18.2,17.9,11.6,78.6,78.9,76.5,14.1,59.2,95.3,77.9,3.15,2.49,1.16,0.257,False,,,,,,,0.95,1.05,1.1,84.4,7.4,W,85,False
186,Jeremiah Jackson,2B,R,Baltimore Orioles,home,7,Oriole Park at Camden Yards,Los Angeles Angels,Ryan Johnson,R,1,True,2.028,3.38,0.0,2.0,3.5,,,,,,,0.305,0.361,0.384,0.0,4.8,9.4,16.7,14.3,18.8,79.5,78.0,78.7,17.4,62.5,101.7,79.3,7.63,6.19,1.59,0.175,True,pitcher,0.282,vs RHP,0.357,vs RHB,-0.075,1.1,1.05,1.03,88.9,5.9,SSW,0,False
187,Victor Caratini,C,S,Minnesota Twins,away,6,Kauffman Stadium,Kansas City Royals,Michael Wacha,R,1,False,1.787,1.72,0.4,1.78,2.83,,,,,,,0.13,0.156,0.225,0.0,0.0,0.0,25.0,28.6,29.9,80.2,83.9,86.1,14.4,67.6,102.7,85.3,3.51,3.82,1.16,0.197,False,,,,,,,0.95,0.97,0.98,73.3,5.5,SW,0,False
188,Moisés Ballesteros,C,L,Los Angeles Angels,away,6,Oriole Park at Camden Yards,Baltimore Orioles,Brandon Young,R,1,True,1.737,1.97,1.5,1.5,1.5,,,,,,,0.197,0.197,0.197,0.0,0.0,0.0,20.0,20.0,20.0,79.3,79.3,79.3,15.4,65.5,104.3,83.1,3.31,3.89,1.29,0.194,False,neutral,0.292,vs RHP,0.291,vs LHB,0.001,1.1,1.05,1.03,88.9,5.9,SSW,0,False
189,Eric Wagaman,1B,R,New York Mets,away,7,Progressive Field,Cleveland Guardians,Foster Griffin,L,8,True,1.679,1.69,,3.0,1.5,,,,,,,,0.635,0.243,,0.0,0.0,,33.3,5.9,,76.4,75.3,14.3,60.1,89.0,74.6,3.06,3.91,1.07,0.221,False,,,,,,,1.0,1.0,1.0,82.9,7.9,WNW,0,False
190,Brendan Donovan,3B,L,Seattle Mariners,home,7,T-Mobile Park,Detroit Tigers,Framber Valdez,L,1,False,1.613,2.94,1.5,1.5,1.5,,,,,,,0.112,0.112,0.112,0.0,0.0,0.0,7.7,7.7,7.7,77.6,77.6,77.6,12.9,58.4,87.4,77.5,4.41,3.84,1.39,0.184,True,,,,,,,0.9,0.93,0.95,67.9,0.7,WNW,0,True
191,Rafael Flores Jr.,C,R,Pittsburgh Pirates,away,8,American Family Field,Milwaukee Brewers,Dustin May,R,1,False,1.611,2.27,1.5,1.5,1.88,,,,,,,0.152,0.152,0.32,0.0,0.0,4.8,20.0,20.0,19.0,87.4,87.4,83.5,12.0,69.7,98.1,82.3,4.38,2.95,1.28,0.231,True,,,,,,,1.06,1.03,1.02,74.0,4.0,S,0,True
192,Jonathan Ornelas,SS,R,Athletics,away,9,Great American Ball Park,Cincinnati Reds,Andrew Abbott,L,4,True,1.421,1.0,1.0,1.0,1.0,,,,,,,0.081,0.081,0.081,0.0,0.0,0.0,0.0,0.0,0.0,68.9,68.9,68.9,13.4,56.8,83.8,72.8,3.91,4.8,1.39,0.18,False,,,,,,,1.12,1.08,1.04,83.8,4.9,W,0,False
193,Yohel Pozo,C,R,Baltimore Orioles,home,9,Oriole Park at Camden Yards,Los Angeles Angels,Ryan Johnson,R,6,True,1.355,3.48,0.0,1.67,1.67,,,,,,,0.006,0.154,0.154,0.0,0.0,0.0,0.0,20.0,20.0,83.3,83.5,83.5,13.8,70.1,102.2,,7.63,6.19,1.59,0.175,True,pitcher,0.224,vs RHP,0.357,vs RHB,-0.133,1.1,1.05,1.03,88.9,5.9,SSW,0,False
